Symbol,Links,Close,Change(%),Last Updated At,Open,High,Low,Volume,Volume Score,Market Cap,Sector,Sub Sector
GULPOLY,   ,80.95,-2.35,24/05/2017 15:31:30,85,85.45,80,19813,0.64 X,0.00,Chemicals,Chemicals - Others
GVKPIL,   ,5.5,-5.98,24/05/2017 15:31:15,5.85,5.85,5.45,4960257,1.94 X,868.56,Power,Power - Generation/Distribution
HANUNG,   ,4,-2.44,24/05/2017 15:31:15,4,4.15,3.95,58001,1.52 X,10.05,Misc,Toys
HARITASEAT,   ,694.85,-0.14,24/05/2017 15:31:17,700.1,714.95,693.05,3789,0.92 X,549.68,Auto Ancl,Auto Ancl - Others
HARRMALAYA,   ,82.35,-2.37,24/05/2017 15:31:25,86.7,86.7,82,60528,0.24 X,149.85,Tea-Coffee,Plantations - Tea & Coffee
HATHWAY,   ,40,-0.62,24/05/2017 15:31:18,41,41,39.15,1288942,2.05 X,2858.8,Entertainment,Entertainment/Multi Media
HATSUN,   ,591.65,-1.77,24/05/2017 15:31:26,612,612,588.55,8952,0.26 X,0.00,Food Processing,Indian
HAVELLS,   ,440.7,-2.09,24/05/2017 15:31:08,452,459.8,438.25,2000936,1.44 X,55156.67,Electric,Electric Equipment - Switchgear/Circuit Breaker
HBLPOWER,   ,40.2,-4.4,24/05/2017 15:31:15,42.05,42.35,40,183943,0.5 X,1020.33,Electric,Electric Equipment - General
HBSTOCK,   ,24.7,-6.79,24/05/2017 15:31:28,27.65,28.25,24.05,38179,0.37 X,59.25,Finance,Finance - Leasing & Hire Purchase
HCC,   ,38.6,-6.08,24/05/2017 15:31:25,40.8,41,38.2,7119161,1.03 X,2385.49,Construction,Construction & Contracting - Civil
HCG,   ,254.8,-0.08,24/05/2017 15:31:16,255.9,260,254,14195,0.29 X,0.00,NA,NA
HCL-INSYS,   ,47.65,-2.85,24/05/2017 15:31:25,49,50.6,47.35,1162804,1.09 X,1062.12,Computers,Computers - Hardware
HCLTECH,   ,854.85,-1.16,24/05/2017 15:31:09,854.9,857.95,840,2015836,1.18 X,118138.54,Computers,Computers - Software
