,0,1,2,3,4,5,6,7,8,9,10
108,108,BALAJITELE,Balaji Telefilms Limited,Steel - Sponge Iron,Steel - Sponge Iron,EQ,22-Nov-00,2,1,INE794B01026,2
109,109,BALAMINES,Balaji Amines Limited,Chemicals,Chemicals,EQ,05-Apr-07,2,1,INE050E01027,2
110,110,BALKRISHNA,Balkrishna Paper Mills Limited,Tyres,Tyres,EQ,28-Jul-15,10,1,INE875R01011,10
111,111,BALKRISIND,Balkrishna Industries Limited,Auto Ancl,Auto Ancl,EQ,27-Jan-06,2,1,INE787D01026,2
112,112,BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified,EQ,06-Jul-95,10,1,INE164A01016,10
113,113,BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Pharmaceuticals,EQ,08-May-06,10,1,INE083D01012,10
114,114,BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Sugar,EQ,08-Feb-95,1,1,INE119A01028,1
115,115,BANARISUG,Bannari Amman Sugars Limited,Textiles - General,Textiles - General,EQ,28-May-03,10,1,INE459A01010,10
116,116,BANCOINDIA,Banco Products (I) Limited,Auto Ancl,Auto Ancl,EQ,22-Dec-06,2,1,INE213C01025,2
117,117,BANKBARODA,Bank of Baroda,Banks - PSU,Banks - PSU,EQ,19-Feb-97,2,1,INE028A01039,2
118,118,BANKINDIA,Bank of India,Banks - PSU,Banks - PSU,EQ,30-Apr-97,10,1,INE084A01016,10
119,119,BANSWRAS,Banswara Syntex Limited,Textiles,Textiles,EQ,11-Apr-07,5,1,INE629D01020,5
120,120,BARTRONICS,Bartronics India Limited,Miscellaneous,Miscellaneous,BZ,12-Jan-06,10,1,INE855F01034,10
121,121,BASF,BASF India Limited,Chemicals,Chemicals,EQ,17-May-95,10,1,INE373A01013,10
122,122,BASML,Bannari Amman Spinning Mills Limited,Textiles - Spinning - Cotton Blended,Textiles - Spinning - Cotton Blended,EQ,14-Nov-05,5,1,INE186H01022,5
123,123,BATAINDIA,Bata India Limited,Leather,Leather,EQ,18-Jun-03,5,1,INE176A01028,5
124,124,BAYERCROP,Bayer Cropscience Limited,Pesticides & Agro Chemicals,Pesticides & Agro Chemicals,EQ,08-Jan-10,10,1,INE462A01022,10
125,125,BBL,Bharat Bijlee Limited,Diversified,Diversified,EQ,21-Nov-06,10,1,INE464A01028,10
126,126,BBTC,Bombay Burmah Trading Corporation Limited,Miscellaneous,Miscellaneous,EQ,03-Apr-96,2,1,INE050A01025,2
127,127,BEDMUTHA,Bedmutha Industries Limited,Steel - Medium & Small,Steel - Medium & Small,EQ,14-Oct-10,10,1,INE844K01012,10
