,Ticker,company_name,sector,sub sector,series,date of listing,paid up value,market lot,isin number,face value
240,DFMFOODS,DFM Foods Limited,,,EQ,29-Dec-16,2,1,INE456C01020,2
241,DHAMPURSUG,Dhampur Sugar Mills Limited,Sugar,Sugar - Integrated,EQ,29-Mar-95,10,1,INE041A01016,10
242,DHANBANK,Dhanlaxmi Bank Limited,Banks - Private,Finance - Banks - Private Sector,EQ,01-Apr-04,10,1,INE680A01011,10
243,DHANUKA,Dhanuka Agritech Limited,Agro,Pesticides/Agro Chemicals,EQ,29-Jun-11,2,1,INE435G01025,2
244,DHARSUGAR,Dharani Sugars & Chemicals Limited,Sugar,Sugar - Integrated,BE,22-May-96,10,1,INE988C01014,10
245,DHUNINV,Dhunseri Investments Limited,Finance,Finance - General,EQ,18-Mar-11,10,1,INE320L01011,10
246,DICIND,DIC India Limited,Printing,Printing/Publishing/Stationery,EQ,30-Aug-95,10,1,INE303A01010,10
247,DISHTV,Dish TV India Limited,Entertainment,Entertainment/Multi Media,EQ,18-Apr-07,1,1,INE836F01026,1
248,DIVISLAB,Divi's Laboratories Limited,Pharmaceuticals,Pharmaceuticals,EQ,12-Mar-03,2,1,INE361B01024,2
249,DLF,DLF Limited,Construction,Construction and Contracting - Real Estate,EQ,05-Jul-07,2,1,INE271C01023,2
250,DLINKINDIA,D-Link (India) Limited,Misc,Miscellaneous,EQ,18-Dec-09,2,1,INE250K01012,2
251,DMART,Avenue Supermarts Limited,,,EQ,21-Mar-17,10,1,INE192R01011,10
252,DONEAR,Donear Industries Limited,Textiles,Textiles - Weaving,EQ,20-Dec-06,2,1,INE668D01028,2
253,DPSCLTD,DPSC Limited,Power,Power - Generation/Distribution,EQ,21-Apr-08,1,1,INE360C01024,1
254,DREDGECORP,Dredging Corporation of India Limited,Misc,Miscellaneous,EQ,15-Jan-04,10,1,INE506A01018,10
255,DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,Pharmaceuticals,EQ,30-May-03,5,1,INE089A01023,5
